Right cycle,Right start,Right end,Stance right ,percent_stance_right,Initial swing right,Percent initial right,Mid swing right,Percent mid swing right ,Terminal right,Percent termial right
1,42,119,42,0.41025641025641024,74,0.08974358974358974,81,0.38461538461538464,111,0.11538461538461539
2,120,197,120,0.3717948717948718,149,0.1282051282051282,159,0.38461538461538464,189,0.11538461538461539
3,198,278,198,0.38271604938271603,229,0.12345679012345678,239,0.35802469135802467,268,0.13580246913580246
4,279,360,279,0.36585365853658536,309,0.13414634146341464,320,0.35365853658536583,349,0.14634146341463414
5,361,441,361,0.37037037037037035,391,0.13580246913580246,402,0.35802469135802467,431,0.13580246913580246
6,442,524,442,0.3614457831325301,472,0.14457831325301204,484,0.3614457831325301,514,0.13253012048192772
7,525,607,525,0.37349397590361444,556,0.12048192771084337,566,0.3614457831325301,596,0.14457831325301204
8,608,689,608,0.35365853658536583,637,0.14634146341463414,649,0.3780487804878049,680,0.12195121951219512
9,690,770,690,0.35802469135802467,719,0.14814814814814814,731,0.35802469135802467,760,0.13580246913580246
10,771,852,771,0.34146341463414637,799,0.17073170731707318,813,0.34146341463414637,841,0.14634146341463414
11,853,935,853,0.3614457831325301,883,0.14457831325301204,895,0.3614457831325301,925,0.13253012048192772
12,936,1021,936,0.3488372093023256,966,0.1511627906976744,979,0.3372093023255814,1008,0.16279069767441862
13,1022,1105,1022,0.34523809523809523,1051,0.15476190476190477,1064,0.3333333333333333,1092,0.16666666666666666
14,1106,1189,1106,0.35714285714285715,1136,0.15476190476190477,1149,0.35714285714285715,1179,0.13095238095238096
15,1190,1273,1190,0.35714285714285715,1220,0.14285714285714285,1232,0.34523809523809523,1261,0.15476190476190477
16,1274,1359,1274,0.32558139534883723,1302,0.1744186046511628,1317,0.313953488372093,1344,0.18604651162790697
17,1360,1442,1360,0.3493975903614458,1389,0.14457831325301204,1401,0.3614457831325301,1431,0.14457831325301204
18,1443,1527,1443,0.3411764705882353,1472,0.16470588235294117,1486,0.32941176470588235,1514,0.16470588235294117
19,1528,1611,1528,0.35714285714285715,1558,0.15476190476190477,1571,0.3333333333333333,1599,0.15476190476190477
20,1612,1697,1612,0.3372093023255814,1641,0.1744186046511628,1656,0.3372093023255814,1685,0.1511627906976744
21,1698,1782,1698,0.32941176470588235,1726,0.16470588235294117,1740,0.3411764705882353,1769,0.16470588235294117
22,1783,1865,1783,0.3493975903614458,1812,0.1566265060240964,1825,0.3373493975903614,1853,0.1566265060240964
23,1866,1950,1866,0.35294117647058826,1896,0.15294117647058825,1909,0.3411764705882353,1938,0.15294117647058825
24,1951,2032,1951,0.35365853658536583,1980,0.13414634146341464,1991,0.35365853658536583,2020,0.15853658536585366
25,2033,2118,2033,0.3372093023255814,2062,0.16279069767441862,2076,0.32558139534883723,2104,0.1744186046511628
26,2119,2201,2119,0.3493975903614458,2148,0.14457831325301204,2160,0.3614457831325301,2190,0.14457831325301204
27,2202,2285,2202,0.35714285714285715,2232,0.14285714285714285,2244,0.34523809523809523,2273,0.15476190476190477
28,2286,2372,2286,0.3448275862068966,2316,0.14942528735632185,2329,0.3333333333333333,2358,0.1724137931034483
29,2373,2455,2373,0.3493975903614458,2402,0.14457831325301204,2414,0.3614457831325301,2444,0.14457831325301204
30,2456,2542,2456,0.3448275862068966,2486,0.14942528735632185,2499,0.3333333333333333,2528,0.1724137931034483
31,2543,2627,2543,0.3411764705882353,2572,0.15294117647058825,2585,0.35294117647058826,2615,0.15294117647058825
32,2628,2713,2628,0.3372093023255814,2657,0.16279069767441862,2671,0.3488372093023256,2701,0.1511627906976744
33,2714,2800,2714,0.3448275862068966,2744,0.14942528735632185,2757,0.3563218390804598,2788,0.14942528735632185
34,2801,2885,2801,0.36470588235294116,2832,0.12941176470588237,2843,0.36470588235294116,2874,0.1411764705882353
35,2886,2970,2886,0.35294117647058826,2916,0.1411764705882353,2928,0.36470588235294116,2959,0.1411764705882353
36,2971,3051,2971,0.35802469135802467,3000,0.14814814814814814,3012,0.35802469135802467,3041,0.13580246913580246
37,3052,3137,3052,0.3488372093023256,3082,0.1511627906976744,3095,0.32558139534883723,3123,0.1744186046511628
38,3138,3222,3138,0.32941176470588235,3166,0.16470588235294117,3180,0.3411764705882353,3209,0.16470588235294117
39,3223,3307,3223,0.36470588235294116,3254,0.1411764705882353,3266,0.3411764705882353,3295,0.15294117647058825
40,3308,3389,3308,0.36585365853658536,3338,0.12195121951219512,3348,0.35365853658536583,3377,0.15853658536585366
41,3390,3473,3390,0.34523809523809523,3419,0.15476190476190477,3432,0.34523809523809523,3461,0.15476190476190477
42,3474,3556,3474,0.3493975903614458,3503,0.14457831325301204,3515,0.3493975903614458,3544,0.1566265060240964
43,3557,3639,3557,0.37349397590361444,3588,0.13253012048192772,3599,0.3493975903614458,3628,0.14457831325301204
44,3640,3723,3640,0.34523809523809523,3669,0.14285714285714285,3681,0.34523809523809523,3710,0.16666666666666666
45,3724,3804,3724,0.37037037037037035,3754,0.13580246913580246,3765,0.35802469135802467,3794,0.13580246913580246
46,3805,3886,3805,0.3902439024390244,3837,0.12195121951219512,3847,0.35365853658536583,3876,0.13414634146341464
47,3887,3968,3887,0.3780487804878049,3918,0.12195121951219512,3928,0.36585365853658536,3958,0.13414634146341464
48,3969,4050,3969,0.35365853658536583,3998,0.14634146341463414,4010,0.35365853658536583,4039,0.14634146341463414
49,4051,4133,4051,0.3614457831325301,4081,0.14457831325301204,4093,0.3493975903614458,4122,0.14457831325301204
50,4134,4215,4134,0.3780487804878049,4165,0.12195121951219512,4175,0.36585365853658536,4205,0.13414634146341464
51,4216,4297,4216,0.36585365853658536,4246,0.14634146341463414,4258,0.35365853658536583,4287,0.13414634146341464
52,4298,4381,4298,0.36904761904761907,4329,0.13095238095238096,4340,0.34523809523809523,4369,0.15476190476190477
53,4382,4461,4382,0.375,4412,0.1125,4421,0.375,4451,0.1375
54,4462,4543,4462,0.36585365853658536,4492,0.13414634146341464,4503,0.36585365853658536,4533,0.13414634146341464
55,4544,4622,4544,0.379746835443038,4574,0.12658227848101267,4584,0.379746835443038,4614,0.11392405063291139
56,4623,4703,4623,0.38271604938271603,4654,0.12345679012345678,4664,0.35802469135802467,4693,0.13580246913580246
57,4704,4785,4704,0.36585365853658536,4734,0.13414634146341464,4745,0.34146341463414637,4773,0.15853658536585366
58,4786,4865,4786,0.375,4816,0.125,4826,0.3625,4855,0.1375
59,4866,4945,4866,0.3875,4897,0.1125,4906,0.375,4936,0.125
60,4946,5025,4946,0.3875,4977,0.1125,4986,0.3625,5015,0.1375
61,5026,5107,5026,0.36585365853658536,5056,0.14634146341463414,5068,0.34146341463414637,5096,0.14634146341463414
62,5108,5188,5108,0.38271604938271603,5139,0.12345679012345678,5149,0.35802469135802467,5178,0.13580246913580246
63,5189,5270,5189,0.3902439024390244,5221,0.10975609756097561,5230,0.35365853658536583,5259,0.14634146341463414
64,5271,5350,5271,0.375,5301,0.1375,5312,0.3375,5339,0.15
65,5351,5429,5351,0.379746835443038,5381,0.12658227848101267,5391,0.3670886075949367,5420,0.12658227848101267
66,5430,5509,5430,0.4,5462,0.1,5470,0.3625,5499,0.1375
67,5510,5591,5510,0.36585365853658536,5540,0.12195121951219512,5550,0.36585365853658536,5580,0.14634146341463414
68,5592,5672,5592,0.35802469135802467,5621,0.13580246913580246,5632,0.35802469135802467,5661,0.14814814814814814
69,5673,5753,5673,0.38271604938271603,5704,0.09876543209876543,5712,0.37037037037037035,5742,0.14814814814814814
70,5754,5833,5754,0.375,5784,0.125,5794,0.3625,5823,0.1375
71,5834,5914,5834,0.37037037037037035,5864,0.13580246913580246,5875,0.345679012345679,5903,0.14814814814814814
72,5915,5993,5915,0.3924050632911392,5946,0.11392405063291139,5955,0.379746835443038,5985,0.11392405063291139
73,5994,6072,5994,0.3924050632911392,6025,0.11392405063291139,6034,0.379746835443038,6064,0.11392405063291139
74,6073,6152,6073,0.3875,6104,0.1125,6113,0.375,6143,0.125
75,6153,6233,6153,0.38271604938271603,6184,0.12345679012345678,6194,0.35802469135802467,6223,0.13580246913580246
76,6234,6316,6234,0.37349397590361444,6265,0.12048192771084337,6275,0.3373493975903614,6303,0.1686746987951807
77,6317,6397,6317,0.345679012345679,6345,0.16049382716049382,6358,0.345679012345679,6386,0.14814814814814814
78,6398,6478,6398,0.38271604938271603,6429,0.12345679012345678,6439,0.37037037037037035,6469,0.12345679012345678
79,6479,6559,6479,0.37037037037037035,6509,0.12345679012345678,6519,0.35802469135802467,6548,0.14814814814814814
80,6560,6639,6560,0.375,6590,0.1125,6599,0.375,6629,0.1375
81,6640,6720,6640,0.3950617283950617,6672,0.09876543209876543,6680,0.37037037037037035,6710,0.13580246913580246
82,6721,6799,6721,0.3924050632911392,6752,0.10126582278481013,6760,0.3924050632911392,6791,0.11392405063291139
83,6800,6878,6800,0.379746835443038,6830,0.12658227848101267,6840,0.379746835443038,6870,0.11392405063291139
84,6879,6960,6879,0.3780487804878049,6910,0.13414634146341464,6921,0.36585365853658536,6951,0.12195121951219512
85,6961,7040,6961,0.375,6991,0.125,7001,0.375,7031,0.125
86,7041,7118,7041,0.3974358974358974,7072,0.10256410256410256,7080,0.38461538461538464,7110,0.11538461538461539
87,7119,7198,7119,0.375,7149,0.125,7159,0.3625,7188,0.1375
88,7199,7279,7199,0.37037037037037035,7229,0.14814814814814814,7241,0.345679012345679,7269,0.13580246913580246
89,7280,7364,7280,0.36470588235294116,7311,0.12941176470588237,7322,0.3411764705882353,7351,0.16470588235294117
90,7365,7445,7365,0.37037037037037035,7395,0.14814814814814814,7407,0.35802469135802467,7436,0.12345679012345678
91,7446,7528,7446,0.3614457831325301,7476,0.14457831325301204,7488,0.37349397590361444,7519,0.12048192771084337
92,7529,7613,7529,0.35294117647058826,7559,0.15294117647058825,7572,0.32941176470588235,7600,0.16470588235294117
93,7614,7695,7614,0.35365853658536583,7643,0.15853658536585366,7656,0.3780487804878049,7687,0.10975609756097561
94,7696,7778,7696,0.37349397590361444,7727,0.13253012048192772,7738,0.3373493975903614,7766,0.1566265060240964
95,7779,7859,7779,0.37037037037037035,7809,0.13580246913580246,7820,0.35802469135802467,7849,0.13580246913580246
96,7860,7941,7860,0.36585365853658536,7890,0.13414634146341464,7901,0.36585365853658536,7931,0.13414634146341464
97,7942,8020,7942,0.3670886075949367,7971,0.13924050632911392,7982,0.35443037974683544,8010,0.13924050632911392
98,8021,8100,8021,0.35,8049,0.15,8061,0.35,8089,0.15
99,8101,8179,8101,0.3670886075949367,8130,0.12658227848101267,8140,0.379746835443038,8170,0.12658227848101267
100,8180,8260,8180,0.37037037037037035,8210,0.12345679012345678,8220,0.37037037037037035,8250,0.13580246913580246
101,8261,8339,8261,0.35443037974683544,8289,0.13924050632911392,8300,0.3670886075949367,8329,0.13924050632911392
102,8340,8417,8340,0.3717948717948718,8369,0.11538461538461539,8378,0.41025641025641024,8410,0.10256410256410256
103,8418,8494,8418,0.37662337662337664,8447,0.12987012987012986,8457,0.4155844155844156,8489,0.07792207792207792
